Nombre,Especialidad,Precio,Ambiente
Pollo Pinulito,Pollo,Bajo,Comida Rapida
KFC,Pollo,Medio,Comida Rapida
Macdonalds,Hamburguesas,Medio,Comida Rapida
Taco Bell,Tacos,Medio,Comida Rapida
Panda Express,Comida China,Alto,Comida Rapida
Dominos Pizza ,Pizza,Medio,Comida Rapida
Pizza Hut,Pizza,Medio,Comida Rapida
Lai Lai ,Comida China,Alto,Serio
Papa Johns,Pizza,Alto,Comida Rapida
Little Ceasers,Pizza,Bajo,Comida Rapida
Wendys,Hamburguesas,Medio,Comida Rapida
El pinche,Tacos,Medio,Serio
Del Puente,Hamburguesas,Medio,Comida Rapida
Apple Bees ,Hamburguesas,Alto,Serio
La Estancia,Carne,Alto,Serio
Tre Fratelli ,Pasta,Alto,Serio
San Martin,Pasta,Alto,Serio
Frisco Grill,Hamburguesas,Alto,Serio
Subway ,Sandwich,Bajo,Comida Rapida
GoGreen ,Sandwich,Bajo,Comida Rapida
Saul,Crepas,Medio,Serio
China Wok,Comida China,Bajo,Serio
Café Barista ,Café,Alto,Serio
Siete Caldos,Caldos,Alto,Serio
Frydays ,Hamburguesas,Alto,Serio
Pecos Bill,Hamburguesas,Alto,Serio
Pecas Pizza,Pizza,Alto,Comida Rapida
Akai Sushi,Sushi,Alto,Serio
Dobladas San Carlos,Dobladas,Bajo,Comida Rapida
Pollo Campero,Pollo,Medio,Comida Rapida
Pollo Granjero,Pollo,Bajo,Comida Rapida
Dennys,Sandwich,Medio,Comida Rapida
Los Cebollines,Tacos,Alto,Serio
Carles Jr,Hamburguesas,Medio,Comida Rapida
Skillet,Hamburguesas,Alto,Serio
Mr Sushi,Sushi,Medio,Serio
Kloster,Mariscos,Alto,Serio
Pizza Vesuvio,Pizza,Alto,Serio
Mr Taco,Tacos,Medio,Comida Rapida

